+Stundenzettel-------+-------+-------+
| Datum      | Start | Ende  | Pause |
+------------+-------+-------+-------+
| 01.09.2021 | 13:10 | 17:10 |       |
| 02.09.2021 | 11:06 | 12:50 |       |
| 06.09.2021 | 15:10 | 18:00 |       |
| 08.09.2021 | 13:00 | 17:30 |       |
| 16.09.2021 | 12:55 | 17:30 |       |
| 20.09.2021 | 15:00 | 18:00 |       |
| 23.09.2021 | 11:12 | 15:40 |       |
| 27.09.2021 | 15:00 | 18:00 |       |
| 29.09.2021 | 13:00 | 17:30 |       |
| 04.10.2021 | 14:35 | 18:00 |       |
| 06.10.2021 | 13:00 | 17:30 |       |
| 11.10.2021 | 11:50 | 18:00 | 00:30 |
| 12.10.2021 | 11:50 | 18:00 |       |
| 18.10.2021 | 11:50 | 18:00 |       |
| 22.10.2021 | 09:00 | 12:35 |       |
| 25.10.2021 | 13:10 | 18:00 |       |
| 03.11.2021 | 12:40 | 18:00 |       |
| 04.11.2021 | 13:05 | 18:00 |       |
| 08.11.2021 | 13:00 | 18:00 |       |
| 10.11.2021 | 13:00 | 18:00 |       |
| 17.11.2021 | 13:05 | 18:00 |       |
| 24.11.2021 | 14:50 | 18:00 |       |
| 29.11.2021 | 15:00 | 18:00 |       |
| 01.12.2021 | 13:35 | 18:00 |       |
| 06.12.2021 | 13:20 | 19:15 |       |
| 08.12.2021 | 13:20 | 18:00 |       |
| 13.12.2021 | 14:20 | 18:00 |       |
| 15.12.2021 | 13:00 | 18:20 |       |
| 20.12.2021 | 13:00 | 18:25 |       |
| 22.12.2021 | 12:55 | 18:00 |       |
| 23.12.2021 | 15:00 | 18:00 |       |
| 27.12.2021 | 10:00 | 18:00 | 01:00 |
| 29.12.2021 | 13:50 | 18:10 |       |
| 30.12.2021 | 14:20 | 18:50 |       |
| 03.01.2022 | 10:05 | 18:00 | 00:45 |
| 06.01.2022 | 10:05 | 18:25 | 00:30 |
| 10.01.2022 | 13:00 | 18:10 |       |
| 13.01.2022 | 13:10 | 18:00 | 00:15 |
| 17.01.2022 | 13:00 | 18:00 |       |
| 18.01.2022 | 14:45 | 18:00 |       |
| 20.01.2022 | 13:20 | 16:00 |       |
| 25.01.2022 | 15:00 | 18:00 |       |
| 26.01.2022 | 13:05 | 18:00 | 00:15 |
| 02.02.2022 | 13:05 | 18:00 |       |
| 07.02.2022 | 13:50 | 18:00 |       |
| 10.02.2022 | 12:50 | 18:00 |       |
| 15.02.2022 | 13:20 | 18:00 |       |
| 16.02.2022 | 13:10 | 18:00 |       |
| 21.02.2022 | 13:00 | 18:00 |       |
| 23.02.2022 | 15:00 | 18:10 |       |
| 02.03.2022 | 13:25 | 18:20 |       |
| 07.03.2022 | 13:50 | 18:00 |       |
| 09.03.2022 | 14:45 | 18:15 |       |
| 14.03.2022 | 13:05 | 18:00 |       |
| 16.03.2022 | 14:50 | 18:00 |       |
| 21.03.2022 | 14:10 | 18:20 |       |
| 22.03.2022 | 14:45 | 18:00 |       |
| 23.03.2022 | 15:20 | 16:55 |       |
| 24.03.2022 | 15:40 | 18:00 |       |
| 28.03.2022 | 15:00 | 18:00 |       |
| 30.03.2022 | 11:30 | 15:30 |       |
| 31.03.2022 | 15:20 | 18:20 |       |
| 04.04.2022 | 14:50 | 18:00 |       |
| 06.04.2022 | 14:50 | 18:00 |       |
| 13.04.2022 | 15:00 | 18:00 |       |
| 14.04.2022 | 14:55 | 18:00 |       |
| 19.04.2022 | 08:10 | 18:00 | 01:00 |
| 20.04.2022 | 09:00 | 18:00 | 01:30 |
| 21.04.2022 | 12:50 | 18:00 |       |
| 26.04.2022 | 15:40 | 18:00 |       |
| 27.04.2022 | 12:50 | 18:00 | 00:20 |
| 02.05.2022 | 14:20 | 18:00 |       |
| 04.05.2022 | 13:30 | 18:00 |       |
| 09.05.2022 | 15:00 | 19:05 |       |
| 12.05.2022 | 15:15 | 18:00 |       |
+------------+-------+-------+-------+
